firm_failure,firm_financial_crisis,first_year,age_at_financial_crisis,lifespan,log_total_investment,log_ipo_value,return_to_ipo,log_time_to_ipo,california,industry_segment,firm_founder_ceo,dot_com_ipo,firm_id
1,0,1999,,1,17.532141,18.966707,4.1978278,7.2765565,0,Retailers,1,1,183
1,0,1997,,2,18.741837,19.82675,2.9591839,6.9782138,0,Retailers,1,0,184
1,0,1997,,1,17.399843,20.127806,15.301685,7.20786,1,Consumer Information Services,0,0,185
1,0,1999,,1,18.299332,20.218773,6.8171511,7.3581939,1,Business Support Services,0,1,186
1,0,1998,,0,17.485664,18.676512,3.2898695,7.116394,0,Business Support Services,1,0,187
1,0,1996,,3,19.515722,20.547058,2.8048098,8.473032,0,Communications and Networking,0,0,188
0,1,2006,2,11,17.560617,19.342096,5.9386282,7.6741529,1,Consumer Information Services,0,0,189
1,1,1999,9,9,16.837481,20.312782,32.307541,7.2011709,0,Communications and Networking,1,1,190
1,0,2005,,1,17.072779,18.598467,4.5983,8.1687698,0,Retailers,1,0,191
0,0,2009,,8,17.2836,20.878489,36.41164,8.2809649,1,Financial Institutions and Services,1,0,192
1,0,1999,,6,17.543688,19.192774,5.2022181,7.6699619,1,Communications and Networking,1,1,193
1,0,1999,,4,16.99,21.589554,99.439949,6.5847912,1,Electronics and Computer Hardware,1,1,194
0,1,1994,14,23,16.793646,18.607218,6.1323133,7.8426714,1,Communications and Networking,0,0,195
1,1,1999,9,14,,,,,,,,,196
1,0,1999,,2,17.681347,19.796217,8.2885141,7.3562799,1,Software,0,1,197
1,0,1998,,4,17.06674,20.173117,22.339935,6.5567784,0,Communications and Networking,0,1,198
1,0,2009,,6,17.966637,20.002209,7.6566353,8.2482672,0,Financial Institutions and Services,0,0,199
1,1,2004,4,9,16.318687,19.724701,30.144846,8.9237242,0,Semiconductors,0,0,200
1,0,2010,,4,19.65864,21.155214,4.4663649,7.8808045,0,Travel and Leisure,1,0,201
1,0,1999,,0,18.774902,20.989252,9.1554499,7.0483866,0,Retailers,1,1,202
1,0,1999,,1,16.428709,19.153086,15.246914,6.8046145,0,Business Support Services,1,1,203
1,1,2003,5,9,16.46804,19.575235,22.358206,7.6113477,0,Business Support Services,0,0,204
0,0,2013,,4,17.966141,20.071968,8.213891,8.1800404,0,Business Support Services,1,0,205
1,0,1996,,5,17.149416,19.100649,7.0373635,7.909122,1,Communications and Networking,0,0,206
1,0,1999,,3,17.19482,19.617359,11.274451,8.0727797,0,Consumer Information Services,1,1,207
1,0,1999,,1,18.320469,19.987976,5.2989411,7.5120711,1,Communications and Networking,0,1,208
1,0,1998,,3,16.281427,19.165159,17.880857,7.7906961,0,Retailers,1,1,209
